name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc058yiy.1	chr13	+	112197349	112201000	112197349	112197349	2	112197349,112198230,	112197408,112201000,		ENST00000561786.1
uc058yiz.1	chr13	+	112313466	112321758	112313466	112313466	2	112313466,112321111,	112319716,112321758,		ENST00000565936.1
uc058yja.1	chr13	-	112322566	112331225	112322566	112322566	3	112322566,112327245,112331058,	112322756,112327545,112331225,		ENST00000413637.1
uc001vsd.3	chr13	+	112376318	112434689	112376385	112434549	7	112376318,112393020,112398048,112399065,112401068,112432443,112434484,	112376479,112393077,112398138,112399173,112401164,112432521,112434689,	Q96KW9	ENST00000283550.7
uc058yjb.1	chr13	+	112376354	112399173	112382449	112399173	6	112376354,112378642,112382277,112393020,112398048,112399065,	112376479,112378731,112382507,112393077,112398138,112399173,	Q5T8L5	ENST00000414180.5
uc058yjc.1	chr13	+	112376387	112401096	112378679	112401096	6	112376387,112378642,112393020,112398048,112399065,112401068,	112376479,112378731,112393077,112398138,112399173,112401096,	Q5T8L6	ENST00000443541.5
uc058yjd.1	chr13	+	112382277	112434689	112382449	112434549	6	112382277,112398048,112399065,112401068,112432443,112434484,	112382507,112398138,112399173,112401164,112432521,112434689,	Q5T8L4	ENST00000375699.3
uc058yje.1	chr13	-	112485843	112489823	112485843	112485843	2	112485843,112489580,	112486151,112489823,		ENST00000469302.1
uc284nki.1	chr13_KI270838v1_alt	+	14475	18126	14475	14475	2	14475,15356,	14534,18126,		ENST00000633716.1
uc284nkj.1	chr13_KI270838v1_alt	+	114462	122734	114462	114462	2	114462,122087,	120687,122734,		ENST00000633482.1
uc284nkk.1	chr13_KI270838v1_alt	-	123542	132195	123542	123542	3	123542,128215,132028,	123732,128515,132195,		ENST00000632006.1
uc032aqc.2	chr13_KI270838v1_alt	+	177288	235659	177355	235519	7	177288,193990,199018,200035,202038,233413,235454,	177449,194047,199108,200143,202134,233491,235659,	Q96KW9	ENST00000610393.2
uc284nkl.1	chr13_KI270838v1_alt	+	177324	200143	183419	200143	6	177324,179612,183247,193990,199018,200035,	177449,179701,183477,194047,199108,200143,		ENST00000632976.1
uc284nkm.1	chr13_KI270838v1_alt	+	177357	202066	179649	202066	6	177357,179612,193990,199018,200035,202038,	177449,179701,194047,199108,200143,202066,		ENST00000631374.1
uc284nkn.1	chr13_KI270838v1_alt	+	183247	235659	183419	235519	6	183247,199018,200035,202038,233413,235454,	183477,199108,200143,202134,233491,235659,		ENST00000631817.1
uc284nko.1	chr13_KI270838v1_alt	-	285978	305684	286962	305684	5	285978,290550,300014,305001,305595,	287121,290667,300155,305133,305684,		ENST00000631451.1
uc284nkp.1	chr13_KI270838v1_alt	-	286813	290793	286813	286813	2	286813,290550,	287121,290793,		ENST00000633949.1
uc284nkq.1	chr13_KI270838v1_alt	-	299776	305684	299879	305684	4	299776,300014,305001,305595,	299906,300155,305133,305684,		ENST00000633234.1
